sample_idx,dataset,stage,image_id,base_dice,base_iou,failure70,failure80,severe50,sprc_cb_score,sprc_pp_r_score,sam_confidence_risk,mask_iou_disagreement,linear_sprc_score
64,Kvasir-SEG,stage1_id,cju34aozyyy830993bn16u32n,0.919798961852192,0.8515072003905447,0,0,0,0.8572222222222221,0.8525925925925925,-0.8804631233215332,0.1249696347724267,1.887376013345428
65,Kvasir-SEG,stage1_id,cju34m7h536wq0988xz7gx79v,0.1203269126109228,0.0640148084357073,1,1,1,0.9422222222222222,0.945925925925926,-0.8519510626792908,0.105313881333401,1.378639511265467
66,Kvasir-SEG,stage1_id,cju34ymm8d6700799uop0cw33,0.914774554576473,0.8429350403035545,0,0,0,0.2319444444444444,0.3455555555555555,-0.9925169944763184,0.0015870329663089,-0.2887933833606439
67,Kvasir-SEG,stage1_id,cju358pwtdby20878cg7nm0np,0.8981917641696178,0.815197903737543,0,0,0,0.5322222222222222,0.6827777777777778,-0.9771831035614014,0.0143797263843143,-0.2839761335813565
68,Kvasir-SEG,stage1_id,cju35a77vdj4n08556jj2lgmc,0.95840801167754,0.9201376569928428,0,0,0,0.4649999999999999,0.4814814814814815,-0.9718315601348876,0.0211837003251144,-0.1537411047695849
69,Kvasir-SEG,stage1_id,cju3ttznuftyf09875t11850w,0.9538959829170136,0.9118557689673366,0,0,0,0.4877777777777777,0.6192592592592593,-0.9722344875335692,0.0390967936953561,-0.0873783306143243
70,Kvasir-SEG,stage1_id,cju3u1c8tfyqx08503iedc3mx,0.9306577394941122,0.8703085755292662,0,0,0,0.7070833333333333,0.7507407407407407,-0.9519861340522766,0.0735163473005368,0.3707534675041753
71,Kvasir-SEG,stage1_id,cju3u4lxmg59o0755rz42b9en,0.9603284109698432,0.9236843837058978,0,0,0,0.4452777777777777,0.5185185185185185,-0.9757698774337769,0.0113275713223205,-0.202494464468421
72,Kvasir-SEG,stage1_id,cju3uhb79gcgr0871orbrbi3x,0.1736874101093183,0.0951027831001041,1,1,1,0.8715277777777778,0.9166666666666666,-0.939490020275116,0.1769689341993965,1.1494561349924697
73,Kvasir-SEG,stage1_id,cju3x4blzieu30850x10uuvbm,0.6591349949026479,0.4915744630495537,1,1,0,0.9086111111111111,0.9122222222222224,-0.8849552869796753,0.3505882726929485,2.9677792364195
74,Kvasir-SEG,stage1_id,cju3xga12iixg0817dijbvjxw,0.928162376959178,0.8659542798338908,0,0,0,0.7372222222222222,0.7399999999999999,-0.9456146955490112,0.0727755182101991,0.7916755626823457
75,Kvasir-SEG,stage1_id,cju3xjqtpikx50817tppy6g84,0.9585774016824542,0.9204499722121232,0,0,0,0.43625,0.5712962962962963,-0.9746809601783752,0.0436895288688373,0.1931476461412448
76,Kvasir-SEG,stage1_id,cju3xtufwiv9c0818djsc4cqd,0.9156255348280234,0.844381313131395,0,0,0,0.3776388888888888,0.5668518518518518,-0.9826186895370485,0.0323359960755472,0.1184059886487633
77,Kvasir-SEG,stage1_id,cju3yht87j83m08507yk1u1fg,0.9698393039360031,0.9414446771669066,0,0,0,0.82125,0.8531481481481481,-0.924323320388794,0.1527795033882443,1.846514797971232
78,Kvasir-SEG,stage1_id,cju41s6nbleqy0755e2mslg0b,0.9428566045556565,0.8918909285332768,0,0,0,0.3397222222222222,0.4166666666666667,-0.9797556400299072,0.0036607126895146,-0.2973649661167155
79,Kvasir-SEG,stage1_id,cju42qet0lsq90871e50xbnuv,0.941221503912908,0.8889692295332655,0,0,0,0.3884722222222222,0.5816666666666667,-0.9811187982559204,0.0105442960789623,-0.1352748858587049
80,Kvasir-SEG,stage1_id,cju43h43am1dy08176gwfhmnt,0.9283661032540368,0.8663090128756799,0,0,0,0.2561111111111111,0.3144444444444444,-0.9823554754257202,0.0029705987618436,-0.3042881853779301
81,Kvasir-SEG,stage1_id,cju43jcqim2cp08172dvjvyui,0.9039855954061492,0.8247935352101725,0,0,0,0.5344444444444445,0.5566666666666666,-0.9652686715126038,0.0309612428061779,-0.1364070802745601
82,Kvasir-SEG,stage1_id,cju43kj2pm34f0850l28ahpni,0.8761344752654019,0.7795723384900374,0,0,0,0.5316666666666667,0.5333333333333333,-0.9609329700469972,0.0085375349321205,-0.2416422204087894
83,Kvasir-SEG,stage1_id,cju45jpvfn6c809873pv1i34s,0.9278241326754764,0.8653656186002011,0,0,0,0.5830555555555555,0.63,-0.9673962593078612,0.0342104594105121,-0.050812794786385
84,Kvasir-SEG,stage1_id,cju5bbtwsa8cl0987wgfsqpao,0.9195239817219634,0.8510359935498065,0,0,0,0.3299999999999999,0.5001851851851852,-0.9790177941322328,0.0177791967126721,-0.1060762616774614
85,Kvasir-SEG,stage1_id,cju5boicjagt20871b1fotkh4,0.5904393930847879,0.4188818772234037,1,1,0,0.8543055555555557,0.850925925925926,-0.907241702079773,0.0675809054989602,1.231075222969763
86,Kvasir-SEG,stage1_id,cju5buy2bal250818ipl6fqwv,0.8508645052182012,0.7404387986290466,0,0,0,0.6669444444444445,0.8194444444444443,-0.96184241771698,0.1319548050988408,0.5147158069260461
87,Kvasir-SEG,stage1_id,cju5cjh3xattc0817j2vbulzi,0.6076932125632856,0.4364650219669997,1,1,0,0.9527777777777776,0.9429629629629628,-0.7462778687477112,0.1714205913535826,1.3173426003326234
88,Kvasir-SEG,stage1_id,cju5hl8nee8a40755fm8qjj0o,0.9274433376642336,0.8647033487671666,0,0,0,0.5786111111111111,0.6396296296296297,-0.9678775668144226,0.0672200890734443,0.0519869961709942
89,Kvasir-SEG,stage1_id,cju5huurrecm70801y680y13m,0.9447260585824944,0.8952424782834105,0,0,0,0.3099999999999999,0.5077777777777778,-0.9907426238059998,0.0052706678963384,-0.1700691685241374
90,Kvasir-SEG,stage1_id,cju5k3j3uf6de0817hszzfr7n,0.9014267185473904,0.820543093270529,0,0,0,0.3647222222222221,0.522962962962963,-0.9848443865776062,0.0051307399807841,-0.2551198543978465
91,Kvasir-SEG,stage1_id,cju5ktjwofed70817eg58ef7u,0.9382261340555264,0.8836402591440382,0,0,0,0.5913888888888889,0.6255555555555555,-0.96981680393219,0.0312325988086982,-0.1961734271884318
92,Kvasir-SEG,stage1_id,cju5nyu31gv8e0871zpk74a2n,0.9190373422274806,0.8502026740880573,0,0,0,0.2055555555555555,0.357037037037037,-0.9913786053657532,0.0051001127726065,-0.2801365515329994
93,Kvasir-SEG,stage1_id,cju5xkwzxmf0z0818gk4xabdm,0.8642320012333318,0.7609230073147182,0,0,0,0.825,0.8377777777777777,-0.9307197332382202,0.0953685376054761,0.2953375496431681
94,Kvasir-SEG,stage1_id,cju5xneamme2p0801qdf7fdwv,0.9370818074180308,0.8816123516916835,0,0,0,0.6724999999999999,0.6707407407407407,-0.9578210711479188,0.0266175240307756,-0.1422334240942152
95,Kvasir-SEG,stage1_id,cju5xq3tdm9fn0987pbedxdg5,0.8970317109145017,0.8132887588802229,0,0,0,0.6480555555555556,0.6159259259259259,-0.9500827193260192,0.042104051908244,-0.0956665282877695
96,Kvasir-SEG,stage1_id,cju5ygh1zmmdi0755uod5e17i,0.9211083123425792,0.8537542024654805,0,0,0,0.4854166666666666,0.4887037037037036,-0.9612916111946106,0.0119717263405305,-0.0288687380313488
97,Kvasir-SEG,stage1_id,cju6us80mv1b50871ebyq2wxa,0.814011676397256,0.6863572433200038,0,0,0,0.3406944444444444,0.3409259259259259,-0.975962460041046,0.0037476852111258,-0.285485670849073
98,Kvasir-SEG,stage1_id,cju6vgdmivcvb08018fra5lnv,0.8735759463974143,0.7755302664245505,0,0,0,0.5461111111111111,0.6403703703703704,-0.9647679924964904,0.0620619566468366,0.2317109863640355
99,Kvasir-SEG,stage1_id,cju6w733bveoz0817e600tw72,0.950178227557678,0.9050852749483256,0,0,0,0.6030555555555555,0.6707407407407407,-0.967543125152588,0.064772890818479,0.1485895381547617
100,Kvasir-SEG,stage1_id,cju6wll7wvo3y08502pagos8m,0.9405372575733996,0.8877492524363776,0,0,0,0.4995833333333332,0.580925925925926,-0.9724491834640504,0.0125925667761515,-0.1370667346034846
101,Kvasir-SEG,stage1_id,cju6wn57mvooj0850rp78hhy7,0.8748030102561131,0.7774665398413851,0,0,0,0.7115277777777778,0.8027777777777777,-0.9571590423583984,0.0438647421761307,0.1010716126272674
102,Kvasir-SEG,stage1_id,cju6xlygpw7bs0818n691jsq4,0.8549991829917094,0.7467236444649018,0,0,0,0.5781944444444445,0.7272222222222222,-0.9630308151245116,0.0879338440874799,0.5107150868628476
