eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,noise,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
noise=0.00,Kvasir-SEG,failure,SPRC no-conf top2,75,9,0.6935273368606703,0.936026936026936,0.12,0.8607262059110043,0.0,,,,
noise=0.00,pooled_heldout,failure80,SPRC-CB,525,44,0.5389067795737953,0.9115951615951615,0.0838095238095238,0.8926362754857672,0.0,0.09868034338900616,0.011371244558328341,0.188072673452361,0.022
noise=0.00,pooled_heldout,failure80,SAM IoU min,525,44,0.4308305144305219,0.8902381402381403,0.0838095238095238,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,failure80,Prompt-pert. unc.,525,44,0.3786100983131534,0.8583443583443583,0.0838095238095238,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,failure80,Mask IoU disag.,525,44,0.4043207457000181,0.8604706104706105,0.0838095238095238,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,failure80,SPRC no-conf top2,525,44,0.5114061768560794,0.8831033831033832,0.0838095238095238,0.8926362754857672,0.0,,,,
noise=0.00,CVC-ClinicDB,failure80,SPRC-CB,150,16,0.5993630011649889,0.9272388059701492,0.10666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure80,SAM IoU min,150,16,0.4257477333919352,0.871268656716418,0.10666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure80,Prompt-pert. unc.,150,16,0.4814389632645378,0.90625,0.10666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure80,Mask IoU disag.,150,16,0.5161572483231966,0.9127798507462687,0.10666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure80,SPRC no-conf top2,150,16,0.5362904629797669,0.9388992537313433,0.10666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ColonDB,failure80,SPRC-CB,150,12,0.27160056618003675,0.8013285024154589,0.08,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure80,SAM IoU min,150,12,0.2848584604811892,0.7910628019323671,0.08,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure80,Prompt-pert. unc.,150,12,0.23500990344750575,0.6884057971014492,0.08,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure80,Mask IoU disag.,150,12,0.24170823888903534,0.6920289855072463,0.08,0.8936195080922801,0.0,,,,
