eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,model,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
SAM ViT-B,Kvasir-SEG,failure,SPRC no-conf top2,75,9,0.6935273368606703,0.936026936026936,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,SPRC-CB,525,44,0.5389067795737953,0.9115951615951615,0.0838095238095238,0.8926362754857672,SAM ViT-B,0.09868034338900616,0.011371244558328341,0.188072673452361,0.022
SAM ViT-B,pooled_heldout,failure80,SAM IoU min,525,44,0.4308305144305219,0.8902381402381403,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,Prompt-pert. unc.,525,44,0.3786100983131534,0.8583443583443583,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,Mask IoU disag.,525,44,0.4043207457000181,0.8604706104706105,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,failure80,SPRC no-conf top2,525,44,0.5114061768560794,0.8831033831033832,0.0838095238095238,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,SPRC-CB,150,16,0.5993630011649889,0.9272388059701492,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,SAM IoU min,150,16,0.4257477333919352,0.871268656716418,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,Prompt-pert. unc.,150,16,0.4814389632645378,0.90625,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,Mask IoU disag.,150,16,0.5161572483231966,0.9127798507462687,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,failure80,SPRC no-conf top2,150,16,0.5362904629797669,0.9388992537313433,0.10666666666666667,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,SPRC-CB,150,12,0.27160056618003675,0.8013285024154589,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,SAM IoU min,150,12,0.2848584604811892,0.7910628019323671,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,Prompt-pert. unc.,150,12,0.23500990344750575,0.6884057971014492,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,Mask IoU disag.,150,12,0.24170823888903534,0.6920289855072463,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,failure80,SPRC no-conf top2,150,12,0.2614150778124307,0.7370169082125604,0.08,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,SPRC-CB,150,7,0.7738095238095237,0.9660339660339661,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,SAM IoU min,150,7,0.7423469387755102,0.981018981018981,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,Prompt-pert. unc.,150,7,0.7441568511612451,0.887112887112887,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,Mask IoU disag.,150,7,0.744467860906217,0.8881118881118881,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,failure80,SPRC no-conf top2,150,7,0.6222766304733518,0.8686313686313686,0.04666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,SPRC-CB,75,9,0.6686347603014269,0.941077441077441,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,SAM IoU min,75,9,0.5919810209283894,0.9276094276094276,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,Prompt-pert. unc.,75,9,0.46668552943062747,0.9057239057239057,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,Mask IoU disag.,75,9,0.4600769600769601,0.9057239057239057,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,failure80,SPRC no-conf top2,75,9,0.6935273368606703,0.936026936026936,0.12,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,SPRC-CB,525,11,0.3167441697902099,0.9501238061549345,0.02095238095238095,0.8926362754857672,SAM ViT-B,0.11780821629706666,-0.006326124233495898,0.2733892487578116,0.062
SAM ViT-B,pooled_heldout,severe_failure,SAM IoU min,525,11,0.2110000547406919,0.9278386982667137,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,Prompt-pert. unc.,525,11,0.258785637550096,0.9184648036788114,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,Mask IoU disag.,525,11,0.2539446495554797,0.9186416696144323,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,pooled_heldout,severe_failure,SPRC no-conf top2,525,11,0.3066571012425169,0.9296073576229219,0.02095238095238095,0.8926362754857672,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,SPRC-CB,150,2,0.14347826086956522,0.9155405405405405,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,SAM IoU min,150,2,0.14627659574468085,0.8378378378378378,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,Prompt-pert. unc.,150,2,0.5625,0.9527027027027026,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,Mask IoU disag.,150,2,0.5625,0.9527027027027026,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ClinicDB,severe_failure,SPRC no-conf top2,150,2,0.13247863247863248,0.9358108108108109,0.013333333333333334,0.8886431308238336,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,SPRC-CB,150,1,0.022727272727272728,0.7114093959731543,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,SAM IoU min,150,1,0.02857142857142857,0.7718120805369127,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,Prompt-pert. unc.,150,1,0.012987012987012988,0.4899328859060402,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,Mask IoU disag.,150,1,0.013157894736842105,0.49664429530201337,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,CVC-ColonDB,severe_failure,SPRC no-conf top2,150,1,0.011363636363636364,0.4161073825503355,0.006666666666666667,0.8936195080922801,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,SPRC-CB,150,4,0.7708333333333333,0.9931506849315068,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,SAM IoU min,150,4,0.6071428571428571,0.9777397260273972,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,Prompt-pert. unc.,150,4,0.8041666666666667,0.9948630136986301,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,Mask IoU disag.,150,4,0.6791666666666667,0.9931506849315068,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,ETIS-Larib,severe_failure,SPRC no-conf top2,150,4,0.6416666666666666,0.9828767123287672,0.02666666666666667,0.9116012223285692,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,SPRC-CB,75,4,0.48333333333333334,0.9647887323943661,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,SAM IoU min,75,4,0.525,0.971830985915493,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,Prompt-pert. unc.,75,4,0.3706709956709957,0.9330985915492958,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,Mask IoU disag.,75,4,0.3742424242424242,0.9330985915492958,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
SAM ViT-B,Kvasir-SEG,severe_failure,SPRC no-conf top2,75,4,0.475,0.9507042253521126,0.05333333333333334,0.8607262059110043,SAM ViT-B,,,,
